iteration,policy_loss,value_loss,total_loss
491,2.330622100830078,0.2563251781463623,2.586947326660156
492,2.3358619689941404,0.272197847366333,2.608059590657552
493,2.33828130086263,0.2564039866129557,2.5946852111816407
494,2.3242433166503904,0.2508247470855713,2.575067952473958
495,2.3211690775553384,0.24839067141215007,2.5695598856608073
496,2.3232041931152345,0.24561878840128581,2.5688230895996096
497,2.3077784220377606,0.2329157606760661,2.540694173177083
498,2.310474294026693,0.23048075358072917,2.540954895019531
499,2.2996285502115885,0.22668325742085774,2.526311747233073
500,2.2975791931152343,0.22861009915669758,2.526189524332682
501,2.298932647705078,0.23537432034810385,2.534306894938151
502,2.295022277832031,0.23206602414449057,2.527088419596354
503,2.2961968994140625,0.23313042322794597,2.529327392578125
504,2.290516815185547,0.24212669054667155,2.532643534342448
505,2.2988570149739584,0.24477101643880209,2.543628184000651
506,2.290207265218099,0.2452578290303548,2.5354651387532554
507,2.288190714518229,0.24961451530456544,2.53780517578125
508,2.2857210286458334,0.24996665318806965,2.5356877136230467
509,2.285799611409505,0.25046057065327965,2.536260223388672
510,2.281949666341146,0.2497231864929199,2.5316728719075523
511,2.2836395263671876,0.24663203239440917,2.5302717590332033
512,2.275538380940755,0.24231983184814454,2.5178582763671873
513,2.2758935038248698,0.24861037890116375,2.524503631591797
514,2.2762795003255207,0.2490949249267578,2.525374348958333
515,2.2763413492838542,0.25600008964538573,2.5323414103190105
516,2.275937093098958,0.251938632329305,2.5278758239746093
517,2.280326690673828,0.2519711621602376,2.532297821044922
518,2.272371571858724,0.25888325691223146,2.53125483194987
519,2.2706699625651043,0.2579402414957682,2.5286101786295574
520,2.2733392842610676,0.25798418045043947,2.5313235473632814
521,2.271676228841146,0.25961971282958984,2.5312960306803385
522,2.272114512125651,0.2673438930511475,2.539458516438802
523,2.274289347330729,0.26258922894795733,2.536878662109375
524,2.271745859781901,0.26823814074198404,2.539984130859375
525,2.266670888264974,0.2682577896118164,2.534928741455078
526,2.265800069173177,0.26425057093302406,2.5300507100423175
527,2.2638355509440102,0.26825226465861,2.532087860107422
528,2.2683400472005206,0.2648509915669759,2.53319091796875
529,2.27173828125,0.2670103645324707,2.5387486267089843
530,2.2706263732910155,0.2667921352386475,2.5374183654785156
531,2.2609617614746096,0.2719102668762207,2.532872263590495
532,2.261691233317057,0.27004071553548176,2.5317318216959634
533,2.2643417358398437,0.26827906926472983,2.532620595296224
534,2.269727935791016,0.2708352406819661,2.540563049316406
535,2.2675460306803386,0.2692914644877116,2.536837361653646
536,2.267156270345052,0.2728076616923014,2.539963938395182
537,2.2670967610677084,0.26930739402771,2.536404062906901
538,2.2656619262695314,0.27194067001342775,2.5376026407877603
539,2.2657100423177083,0.2747748311360677,2.540484873453776
540,2.2550274658203127,0.2730316098531087,2.5280589803059894
541,2.2625160217285156,0.312202517191569,2.5747184244791668
542,2.2714893595377603,0.314085693359375,2.5855751546223957
543,2.2732762654622394,0.3082375462849935,2.581513671875
544,2.263478291829427,0.3116146341959635,2.5750931294759116
545,2.270083211263021,0.31141628901163737,2.5814993794759116
546,2.266159922281901,0.3151397705078125,2.581299591064453
547,2.2664791361490884,0.307415714263916,2.5738948567708335
548,2.25730219523112,0.30847644805908203,2.565778605143229
549,2.2630039978027345,0.3127396392822266,2.575743662516276
550,2.2675699361165367,0.31038563410441083,2.577955474853516
551,2.2770284525553386,0.3447938283284505,2.6218223571777344
552,2.2638999938964846,0.34131218592325846,2.6052120971679686
553,2.266050262451172,0.33739505767822264,2.6034451293945313
554,2.2654076639811196,0.334647102355957,2.6000547281901043
