iteration,policy_loss,value_loss,total_loss
1,4.07809025923411,0.4053302405277888,4.483420518239339
2,3.2920640389124554,0.3256065273284912,3.617670569419861
3,2.86229642868042,0.2783922350406647,3.140688667297363
4,2.653890608151754,0.269589151541392,2.923479747772217
5,2.511622095108032,0.21600565016269685,2.7276277573903402
6,2.396513090133667,0.18219876964886983,2.578711864153544
7,2.3146390215555828,0.17675420711437861,2.4913932275772095
8,2.231831440925598,0.1886905644337336,2.4205220079422
9,2.1677479378382363,0.2151914886633555,2.3829394229253134
10,2.1033719340960184,0.21471869071324667,2.3180906200408935
11,2.341388053894043,0.23396081189314524,2.5753488683700563
12,2.2920564126968386,0.2611835453907649,2.553239959081014
13,2.2478751961390175,0.25735872675975163,2.5052339283625287
14,2.2583730856577557,0.29903343151013057,2.55740651289622
15,2.208975690205892,0.2902002042531967,2.4991758982340495
16,2.1967464462916055,0.30995708495378493,2.506703526178996
17,2.1626718409856163,0.30102431058883666,2.463696150779724
18,2.1333819111188252,0.3212630182504654,2.454644929567973
19,1.994188999334971,0.3119146353999774,2.306103622118632
20,1.9248707993825276,0.29829955369234085,2.2231703583399454
21,2.054100035826365,0.3080555971463521,2.362155636151632
22,2.0617604494094848,0.32721453189849853,2.388974970181783
23,2.0622658411661785,0.3230663470427195,2.3853321838378907
24,2.0558017047246295,0.31963673651218416,2.3754384469985963
25,2.0288133796056114,0.2877146444718043,2.3165280199050904
26,2.0161094387372334,0.2609667365749677,2.27707616964976
27,2.011722780863444,0.24011358072360356,2.2518363682428997
28,2.022663424015045,0.25057711323102316,2.27324053923289
29,2.028195401032766,0.24346546957890192,2.271660876274109
30,2.021475875377655,0.21174996435642243,2.23322583993276
31,2.0396371849377952,0.19838578422864278,2.238022967974345
32,2.0700704002380372,0.19459030707677205,2.264660708109538
33,2.07507435242335,0.16705104271570842,2.2421253887812296
34,2.080049500465393,0.15147384375333786,2.2315233437220257
35,2.1153983505566916,0.1523970281581084,2.267795378367106
36,2.099835011959076,0.14625072027246158,2.2460857311884563
37,2.0857331061363222,0.13012257953484854,2.2158556763331094
38,2.1039341346422833,0.1311161797742049,2.2350503174463907
39,2.0961373019218446,0.11944062958161036,2.215577925046285
40,2.0860945185025535,0.12308878014485042,2.2091832955678306
41,2.0835203377405804,0.12270610516270002,2.206226444244385
42,2.0701367235183716,0.11926003495852153,2.1893967660268148
43,2.0636472050348917,0.11767986918489139,2.181327069600423
44,2.0546579790115356,0.11707777549823126,2.1717357444763183
45,2.0678720116615295,0.1240631723900636,2.1919351911544798
46,2.098365577061971,0.13129695494969687,2.229662539164225
47,2.091213814417521,0.12857149849335353,2.219785313606262
48,2.113354132970174,0.12216362784306209,2.23551775932312
49,2.1206681434313457,0.12512141793966294,2.245789564450582
50,2.131048568089803,0.11177196646730105,2.242820542653402
51,2.124345984458923,0.10685373887419701,2.231199720700582
52,2.144446980158488,0.10261130089561145,2.2470582866668702
53,2.1477727286020913,0.10272575378417968,2.2504984871546427
54,2.1597193336486815,0.0973843510945638,2.2571036847432455
55,2.145794318517049,0.10631141379475594,2.2521057415008543
56,2.15330099105835,0.10608238354325294,2.259383374849955
57,2.1576924753189086,0.10958341399828593,2.267275884946187
58,2.1483595530192057,0.10682262708743413,2.2551821772257488
59,2.1419647979736327,0.1101677569746971,2.252132560412089
60,2.1266654602686565,0.11216212049126625,2.238827584584554
61,2.1408858108520508,0.11559658482670784,2.256482399304708
62,2.156277135213216,0.11230577424168586,2.268582903544108
63,2.1645313437779743,0.10850437790155411,2.2730357201894122
64,2.1672755416234333,0.10995093459884325,2.2772264687220254
65,2.1885253238677977,0.10600453346967698,2.294529856046041
66,2.188088568051656,0.10151555021603902,2.2896041170756023
67,2.18311070283254,0.1005690420170625,2.2836797507603963
68,2.1867473189036053,0.0963349345823129,2.283082257906596
69,2.2223237991333007,0.09421047565837701,2.316534276008606
70,2.2092480023701984,0.09508606952925523,2.3043340619405113
71,2.216375592549642,0.09550137810409069,2.3118769836425783
72,2.220016961097717,0.09554009929299355,2.315557066599528
73,2.221704379717509,0.10489209681749344,2.3265964730580646
74,2.234829066594442,0.10073443914453188,2.335563505490621
75,2.2496834230422973,0.10608396550019582,2.3557673851648966
76,2.2559285449981687,0.10374980305631955,2.3596783542633055
77,2.2519941234588625,0.10172654593984286,2.3537206649780273
78,2.2338188012441,0.10924832577506702,2.343067127863566
79,2.214564291636149,0.10751158480842908,2.3220758771896364
80,2.201977574030558,0.11799128780762355,2.319968857765198
81,2.1701413027445473,0.11057058617472648,2.2807118892669678
82,2.1551178598403933,0.10697837695479392,2.2620962365468342
